Year,Team,Goals_For,Goals_Against,Matches_Played,Goal_Difference,Win_Rate,FIFA_Rank,FIFA_Points,Confederation,Is_Finalist
1994.0,Brazil,11.0,3.0,7,8.0,2.75,1.4,62.4,CONMEBOL,1
1994.0,Germany,9.0,7.0,5,2.0,1.12,2.8,60.1,UEFA,1
1994.0,Sweden,15.0,8.0,7,7.0,1.67,5.3,58.3,UEFA,1
1994.0,Spain,10.0,6.0,5,4.0,1.43,5.8,58.0,UEFA,1
1994.0,Netherlands,8.0,6.0,5,2.0,1.14,6.0,58.1,UEFA,1
1994.0,Italy,8.0,5.0,7,3.0,1.33,6.4,57.9,UEFA,1
1994.0,Norway,1.0,1.0,3,0.0,0.5,6.5,57.0,UEFA,0
1994.0,Switzerland,5.0,7.0,4,-2.0,0.62,8.0,56.1,UEFA,1
1994.0,Argentina,8.0,6.0,4,2.0,1.14,8.7,56.0,CONMEBOL,1
1994.0,Romania,10.0,9.0,5,1.0,1.0,10.0,55.3,UEFA,1
1994.0,Nigeria,7.0,4.0,4,3.0,1.4,11.2,54.1,CAF,0
1994.0,Russia,7.0,6.0,3,1.0,1.0,15.5,52.2,UEFA,0
1994.0,Mexico,4.0,4.0,4,0.0,0.8,15.6,52.0,CONCACAF,1
1994.0,Colombia,4.0,5.0,3,-1.0,0.67,17.4,51.3,CONMEBOL,1
1994.0,Bulgaria,10.0,11.0,7,-1.0,0.83,20.6,48.8,UEFA,1
1994.0,USA,3.0,4.0,4,-1.0,0.6,22.5,47.3,CONCACAF,1
1994.0,Belgium,4.0,4.0,4,0.0,0.8,25.9,45.4,UEFA,1
1994.0,Cameroon,3.0,11.0,3,-8.0,0.25,27.3,44.2,CAF,1
1994.0,Morocco,2.0,5.0,3,-3.0,0.33,29.8,43.2,CAF,0
1994.0,Saudi Arabia,5.0,6.0,4,-1.0,0.71,31.4,41.6,AFC,0
1994.0,Greece,0.0,10.0,3,-10.0,0.0,32.3,41.5,UEFA,0
1994.0,Korea Republic,4.0,5.0,3,-1.0,0.67,37.5,38.4,AFC,1
1994.0,Bolivia,1.0,4.0,3,-3.0,0.2,46.0,35.0,CONMEBOL,0
1998.0,Brazil,14.0,10.0,7,4.0,1.27,1.0,73.2,CONMEBOL,1
1998.0,Germany,8.0,6.0,5,2.0,1.14,2.6,66.8,UEFA,1
1998.0,Argentina,10.0,4.0,5,6.0,2.0,6.7,62.7,CONMEBOL,1
1998.0,France,15.0,2.0,7,13.0,5.0,7.5,64.5,UEFA,1
1998.0,Yugoslavia,5.0,4.0,4,1.0,1.0,7.9,62.0,UEFA,1
1998.0,England,7.0,4.0,4,3.0,1.4,8.1,61.5,UEFA,1
1998.0,Mexico,8.0,7.0,4,1.0,1.0,8.1,61.7,CONCACAF,1
1998.0,Croatia,11.0,5.0,7,6.0,1.83,10.0,62.6,UEFA,1
1998.0,Italy,8.0,3.0,5,5.0,2.0,10.1,61.6,UEFA,1
1998.0,Chile,5.0,8.0,4,-3.0,0.56,11.9,58.8,CONMEBOL,1
1998.0,Norway,5.0,5.0,4,0.0,0.83,11.9,59.6,UEFA,0
1998.0,Netherlands,13.0,7.0,7,6.0,1.62,12.5,60.4,UEFA,1
1998.0,Morocco,5.0,5.0,3,0.0,0.83,13.3,58.9,CAF,0
1998.0,Romania,4.0,3.0,4,1.0,1.0,14.5,58.7,UEFA,1
1998.0,Spain,8.0,4.0,3,4.0,1.6,16.0,57.9,UEFA,1
1998.0,USA,1.0,5.0,3,-4.0,0.17,17.0,57.0,CONCACAF,1
1998.0,Japan,1.0,4.0,3,-3.0,0.2,17.7,56.1,AFC,0
1998.0,Denmark,9.0,7.0,5,2.0,1.12,20.5,55.6,UEFA,1
1998.0,Korea Republic,2.0,9.0,3,-7.0,0.2,20.5,55.4,AFC,1
1998.0,Colombia,1.0,3.0,3,-2.0,0.25,20.8,55.8,CONMEBOL,1
1998.0,Tunisia,1.0,4.0,3,-3.0,0.2,23.2,54.9,CAF,0
1998.0,Austria,3.0,4.0,3,-1.0,0.6,25.5,54.1,UEFA,1
1998.0,Paraguay,3.0,2.0,4,1.0,1.0,26.4,53.9,CONMEBOL,1
1998.0,South Africa,3.0,6.0,3,-3.0,0.43,26.9,53.7,CAF,0
1998.0,Jamaica,3.0,9.0,3,-6.0,0.3,31.1,52.4,CONCACAF,0
1998.0,Saudi Arabia,2.0,7.0,3,-5.0,0.25,32.2,51.7,AFC,0
1998.0,Belgium,3.0,3.0,3,0.0,0.75,32.9,51.7,UEFA,1
1998.0,Scotland,2.0,6.0,3,-4.0,0.29,38.1,49.4,UEFA,0
1998.0,Bulgaria,1.0,7.0,3,-6.0,0.12,40.9,48.2,UEFA,1
1998.0,Cameroon,2.0,5.0,3,-3.0,0.33,42.8,47.4,CAF,1
1998.0,Nigeria,6.0,9.0,4,-3.0,0.6,67.0,40.0,CAF,0
2002.0,Brazil,18.0,4.0,7,14.0,3.6,1.7272727272727273,825.4545454545455,CONMEBOL,1
2002.0,France,0.0,3.0,3,-3.0,0.0,1.8181818181818181,794.0,UEFA,1
2002.0,Argentina,2.0,2.0,3,0.0,0.67,3.272727272727273,775.7272727272727,CONMEBOL,1
2002.0,Spain,10.0,5.0,5,5.0,1.67,5.090909090909091,752.0909090909091,UEFA,1
2002.0,Mexico,4.0,4.0,4,0.0,0.8,7.2727272727272725,725.4545454545455,CONCACAF,1
2002.0,Germany,14.0,3.0,7,11.0,3.5,7.545454545454546,736.2727272727273,UEFA,1
2002.0,Portugal,6.0,4.0,3,2.0,1.2,7.7272727272727275,724.2727272727273,UEFA,1
2002.0,Italy,5.0,5.0,4,0.0,0.83,8.363636363636363,720.0909090909091,UEFA,1
2002.0,England,6.0,3.0,5,3.0,1.5,8.909090909090908,717.2727272727273,UEFA,1
2002.0,USA,7.0,7.0,5,0.0,0.88,12.181818181818182,704.7272727272727,CONCACAF,1
2002.0,Denmark,5.0,5.0,4,0.0,0.83,15.727272727272727,686.9090909090909,UEFA,1
2002.0,Turkey,10.0,6.0,7,4.0,1.43,15.909090909090908,691.1818181818181,UEFA,1
2002.0,Paraguay,6.0,7.0,4,-1.0,0.75,16.636363636363637,680.9090909090909,CONMEBOL,1
2002.0,Cameroon,2.0,3.0,3,-1.0,0.5,19.09090909090909,672.4545454545455,CAF,1
